,ID,Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling
23213,23214,Female,46,Returning,Business,Business,2100,0,0.0,1,1,5,2,1,5,4,5,1,4,5,1,5,5
110042,110043,Male,50,First-time,Business,Economy,2039,0,10.0,2,2,1,2,3,1,3,2,3,3,2,2,3,2
110586,110587,Male,67,Returning,Personal,Economy,551,17,13.0,1,3,1,3,2,2,2,5,3,3,2,3,3,2
12616,12617,Male,11,First-time,Business,Economy,802,6,0.0,2,2,3,2,4,4,1,1,1,1,1,3,1,3
88830,88831,Female,33,Returning,Personal,Economy Plus,515,1,56.0,5,3,4,3,1,3,5,2,3,3,5,3,3,5
88557,88558,Female,67,Returning,Personal,Economy,404,0,0.0,5,1,3,5,3,1,5,1,3,5,1,1,1,1
22343,22344,Male,33,First-time,Business,Economy,143,0,0.0,0,2,5,2,5,3,3,3,4,4,1,2,4,4
71480,71481,Male,48,Returning,Business,Business,1012,29,23.0,5,5,4,5,5,5,5,5,3,5,5,5,5,5
118087,118088,Male,44,Returning,Business,Economy,876,67,56.0,1,1,3,3,1,1,3,2,3,3,5,3,3,2
109763,109764,Male,36,First-time,Business,Business,1092,20,15.0,3,3,4,3,3,4,3,3,1,1,5,2,1,5
4284,4285,Male,67,Returning,Personal,Economy,502,0,0.0,4,4,5,4,3,4,5,3,5,5,4,4,5,5
63408,63409,Female,46,Returning,Personal,Economy,447,0,0.0,4,5,1,4,3,5,5,5,1,3,5,5,5,5
92032,92033,Female,40,Returning,Business,Business,1589,0,0.0,4,4,4,3,4,5,5,5,5,2,5,4,5,5
125764,125765,Male,44,Returning,Business,Business,920,0,0.0,5,5,4,5,5,4,4,4,3,2,4,5,4,4
13483,13484,Male,32,Returning,Personal,Business,227,0,0.0,4,1,3,1,3,5,5,3,5,5,5,1,5,5
30171,30172,Female,49,Returning,Personal,Economy,548,0,0.0,1,4,4,3,3,2,3,4,2,3,2,4,2,2
14656,14657,Male,52,Returning,Personal,Economy,162,0,13.0,5,0,3,0,1,5,2,5,2,2,4,2,2,5
26527,26528,Female,21,First-time,Business,Business,990,6,13.0,4,1,2,1,4,1,5,2,5,5,3,1,5,3
88682,88683,Female,62,Returning,Personal,Economy,581,2,15.0,4,2,3,5,4,4,5,2,3,5,4,1,4,4
77414,77415,Male,57,Returning,Personal,Economy,588,28,17.0,4,4,3,4,2,5,3,4,3,3,4,4,3,4
57518,57519,Male,31,Returning,Business,Business,3826,0,0.0,2,2,3,5,2,4,5,4,5,5,5,2,5,5
126464,126465,Female,51,Returning,Business,Business,1972,0,0.0,1,1,5,4,1,4,5,4,4,4,4,1,4,4
108909,108910,Female,46,Returning,Business,Business,1066,15,5.0,5,5,4,3,5,3,3,3,3,4,3,3,3,3
20799,20800,Female,32,First-time,Business,Economy,357,0,0.0,0,1,3,1,3,1,5,4,5,5,2,1,5,1
31606,31607,Male,29,Returning,Personal,Economy,602,0,0.0,5,3,3,3,4,3,5,3,5,5,4,3,5,5
60128,60129,Male,25,Returning,Business,Business,2503,140,150.0,1,1,3,3,1,4,3,4,3,3,2,3,1,3
18055,18056,Male,23,First-time,Business,Economy,488,0,0.0,0,4,3,4,3,5,4,1,4,4,3,4,4,5
19339,19340,Female,26,Returning,Personal,Economy,694,42,22.0,4,2,3,2,5,3,2,3,2,2,4,2,2,5
64007,64008,Female,14,Returning,Personal,Economy,612,0,0.0,5,3,4,3,1,5,4,4,4,4,4,3,4,4
95757,95758,Female,36,Returning,Personal,Economy,419,22,22.0,3,2,2,2,3,2,3,2,3,3,3,2,3,3
55619,55620,Female,39,Returning,Business,Business,1824,0,0.0,2,1,4,4,2,5,5,5,3,5,5,2,5,5
4469,4470,Female,28,Returning,Personal,Economy,1005,113,110.0,5,4,1,4,3,5,1,3,1,1,4,4,1,1
42950,42951,Male,62,Returning,Business,Business,3934,58,47.0,2,4,5,3,2,5,1,4,4,4,5,2,5,5
78792,78793,Female,34,First-time,Business,Economy,447,0,0.0,0,2,4,2,4,2,4,3,4,4,2,2,4,4
29353,29354,Female,44,Returning,Business,Economy,2355,15,3.0,3,5,2,4,5,4,4,5,4,3,4,5,4,4
7854,7855,Male,15,Returning,Personal,Economy,1005,392,401.0,3,4,3,3,3,4,3,4,3,4,3,4,2,1
41358,41359,Female,26,First-time,Business,Economy,563,2,0.0,0,0,4,0,3,5,3,2,3,3,3,0,3,4
117624,117625,Male,49,Returning,Personal,Economy,872,10,15.0,0,3,5,3,1,3,5,4,5,5,5,3,5,3
118230,118231,Female,37,Returning,Business,Business,1587,0,0.0,1,1,4,5,1,5,4,5,5,3,5,1,5,5
36085,36086,Male,28,Returning,Personal,Economy,399,0,0.0,2,4,1,4,4,4,1,3,1,1,3,4,1,4
96056,96057,Female,30,First-time,Business,Economy,795,0,0.0,3,3,2,3,4,2,5,5,5,5,3,3,5,4
6785,6786,Female,31,Returning,Business,Economy,137,0,0.0,2,2,3,1,2,1,1,4,1,1,2,1,1,2
7448,7449,Male,48,Returning,Personal,Economy,522,6,0.0,5,5,5,5,1,3,1,4,1,1,5,5,1,4
53933,53934,Male,37,Returning,Personal,Economy Plus,191,0,0.0,4,1,4,1,5,5,2,3,2,2,4,1,2,5
62962,62963,Female,20,First-time,Business,Economy,967,4,0.0,5,5,5,5,3,3,3,3,3,3,4,5,3,5
101573,101574,Female,43,Returning,Business,Business,2498,47,29.0,3,3,5,4,3,4,5,4,3,5,4,3,4,4
14165,14166,Female,22,First-time,Business,Economy,526,44,48.0,5,4,2,4,4,1,5,3,5,5,5,3,5,5
2027,2028,Male,23,First-time,Business,Business,733,12,2.0,5,0,4,0,3,3,5,5,5,5,4,0,5,4
92216,92217,Female,53,Returning,Personal,Economy,2079,0,0.0,0,3,5,4,5,5,5,3,5,3,5,2,5,5
98479,98480,Male,55,Returning,Business,Business,1888,0,0.0,2,1,2,4,1,2,3,2,2,5,2,2,2,2
22135,22136,Female,44,Returning,Business,Business,1859,8,3.0,0,0,1,4,3,1,2,1,5,4,1,0,1,1
49757,49758,Female,36,Returning,Business,Business,89,0,0.0,3,3,2,5,3,5,4,5,3,1,5,3,5,3
98048,98049,Female,17,Returning,Business,Business,1797,21,4.0,4,4,4,5,4,3,5,3,5,5,4,4,5,4
110985,110986,Female,60,Returning,Business,Business,2564,0,0.0,0,0,5,4,3,4,4,5,4,2,4,0,4,5
97110,97111,Male,45,Returning,Business,Economy,1390,1,0.0,4,4,2,4,4,3,4,3,4,4,2,4,4,3
103253,103254,Female,32,Returning,Business,Business,888,13,14.0,1,1,4,3,1,5,3,5,3,3,4,1,3,5
121092,121093,Male,36,Returning,Business,Economy,1158,0,0.0,5,5,3,5,5,2,4,2,4,4,4,4,4,5
79055,79056,Female,57,First-time,Business,Economy,226,0,0.0,3,1,1,1,3,1,1,1,1,1,3,1,1,3
76432,76433,Female,48,Returning,Personal,Economy,405,19,12.0,5,2,4,5,2,4,5,2,4,5,4,2,4,4
109601,109602,Female,50,Returning,Personal,Economy Plus,861,28,25.0,4,1,5,4,3,5,4,1,4,5,5,1,5,1
80910,80911,Male,67,Returning,Business,Business,341,38,23.0,3,3,3,4,3,4,5,4,4,3,4,3,4,4
41004,41005,Female,7,Returning,Personal,Economy,1362,5,17.0,4,4,4,4,3,4,4,3,4,4,4,4,4,3
81163,81164,Male,45,Returning,Business,Business,3142,0,7.0,3,3,3,4,3,5,5,5,3,4,5,3,5,5
90432,90433,Male,61,First-time,Business,Business,404,21,17.0,3,3,3,3,1,5,2,4,2,2,4,3,2,5
49372,49373,Male,34,First-time,Business,Economy,262,0,0.0,4,2,5,2,2,1,4,2,2,2,2,2,2,3
104375,104376,Female,39,Returning,Business,Economy,228,22,43.0,2,2,4,3,2,2,3,3,3,3,4,3,3,4
80852,80853,Female,39,First-time,Business,Economy,292,5,0.0,0,2,4,2,5,1,5,2,5,5,2,2,5,4
74327,74328,Female,58,Returning,Business,Business,1171,0,0.0,4,4,4,5,4,5,5,5,3,3,5,4,5,5
33053,33054,Female,32,Returning,Personal,Economy,101,0,0.0,5,4,1,4,2,5,3,4,4,4,1,4,4,4
40661,40662,Male,35,Returning,Business,Business,590,0,0.0,3,3,2,3,3,3,3,3,4,1,3,3,3,3
41822,41823,Female,29,Returning,Personal,Economy,196,0,0.0,4,4,4,4,2,3,1,4,1,1,5,4,1,5
80417,80418,Female,49,Returning,Business,Business,2248,56,61.0,5,5,3,3,5,4,5,4,5,5,4,5,4,4
38815,38816,Male,66,Returning,Personal,Economy,353,0,0.0,2,3,2,3,4,2,2,2,2,2,4,3,2,4
14185,14186,Female,33,Returning,Business,Economy,714,232,238.0,3,3,5,5,3,3,5,1,5,5,1,5,2,5
81240,81241,Female,24,First-time,Business,Economy,930,1,7.0,3,3,5,3,3,5,3,2,3,3,5,3,3,4
6799,6800,Male,66,Returning,Business,Business,3031,0,0.0,4,4,4,3,4,2,3,2,2,2,2,2,2,2
63953,63954,Male,13,Returning,Personal,Economy,1192,0,9.0,2,3,2,3,4,1,4,5,4,4,4,3,4,3
33526,33527,Female,32,Returning,Business,Business,1850,0,0.0,1,1,5,4,1,2,5,2,5,5,1,1,5,5
42541,42542,Male,43,Returning,Business,Business,2718,6,0.0,1,1,3,4,1,1,4,2,3,4,1,1,1,1
117669,117670,Male,40,Returning,Personal,Economy,1449,205,210.0,1,0,4,4,2,4,4,3,4,0,4,1,3,2
89417,89418,Female,38,First-time,Business,Economy,151,0,0.0,1,2,3,2,4,3,2,3,2,2,3,2,2,4
64171,64172,Female,29,Returning,Personal,Economy,989,25,5.0,5,4,5,4,1,5,4,3,4,4,4,4,4,4
70145,70146,Male,68,Returning,Personal,Economy,550,8,7.0,3,3,3,3,4,1,4,3,5,5,4,3,5,3
112549,112550,Female,49,Returning,Business,Business,957,84,75.0,5,5,4,5,5,4,5,4,3,5,4,5,4,4
91358,91359,Female,58,Returning,Personal,Economy Plus,581,0,0.0,5,3,4,4,2,5,5,3,4,2,5,3,5,5
5357,5358,Male,51,Returning,Business,Business,812,0,12.0,1,1,3,4,1,2,5,2,4,2,2,1,2,2
78014,78015,Male,46,Returning,Business,Business,2275,0,0.0,1,1,4,2,1,4,3,3,1,2,4,1,4,1
106010,106011,Male,50,Returning,Personal,Economy,1999,12,22.0,1,4,1,4,4,1,2,2,2,2,3,3,2,2
19961,19962,Female,55,Returning,Personal,Economy Plus,315,0,0.0,5,1,4,5,2,1,5,1,4,5,1,1,1,1
52180,52181,Female,38,Returning,Business,Economy,237,0,0.0,3,3,2,4,3,2,4,4,4,4,4,4,4,4
59715,59716,Male,56,Returning,Business,Business,964,0,0.0,5,5,5,4,5,4,4,4,4,4,4,5,4,4
21088,21089,Female,32,Returning,Business,Business,2369,0,0.0,1,3,1,1,3,4,2,3,1,1,4,2,1,4
58569,58570,Female,47,Returning,Personal,Business,403,12,1.0,5,1,5,5,2,3,4,1,4,4,3,1,3,4
98593,98594,Male,51,Returning,Business,Business,966,1,0.0,1,1,5,4,1,4,4,4,5,3,4,1,4,4
105663,105664,Female,40,Returning,Business,Business,925,0,0.0,5,5,3,4,5,4,4,4,4,3,4,5,4,4
124103,124104,Male,9,First-time,Business,Business,529,0,0.0,0,5,5,5,2,5,1,5,1,1,5,5,1,5
50903,50904,Female,44,Returning,Personal,Economy,250,0,3.0,4,3,5,5,1,2,4,3,3,4,2,3,2,2
102900,102901,Male,42,Returning,Personal,Economy,1037,0,0.0,5,4,3,4,1,4,5,4,5,5,5,4,5,4
16538,16539,Female,54,Returning,Business,Economy,1134,69,81.0,2,2,2,5,2,5,3,5,3,2,5,5,5,5
106813,106814,Female,55,Returning,Business,Business,1488,0,0.0,1,1,3,5,1,5,4,5,5,3,5,1,5,5
41627,41628,Female,40,Returning,Business,Economy,438,0,0.0,3,3,2,5,3,3,5,4,5,5,2,5,5,5
96503,96504,Male,53,Returning,Business,Economy,444,0,0.0,5,2,1,2,5,2,2,2,2,2,4,2,2,3
79651,79652,Female,65,First-time,Business,Economy,362,60,46.0,3,4,2,4,3,3,2,3,2,2,1,4,2,3
88201,88202,Male,57,Returning,Business,Business,2433,2,0.0,1,1,3,5,1,5,5,5,4,2,5,1,5,5
11004,11005,Female,29,First-time,Business,Economy,158,0,0.0,0,4,2,4,1,1,2,5,2,2,2,4,2,2
96716,96717,Male,27,First-time,Business,Economy,696,0,0.0,3,3,2,3,4,1,2,3,2,2,4,3,2,4
35410,35411,Female,53,Returning,Business,Business,544,31,18.0,4,2,4,5,4,2,5,2,5,4,2,4,2,2
96283,96284,Male,46,Returning,Personal,Economy,687,22,12.0,4,4,5,4,4,3,2,3,2,2,5,4,2,5
104570,104571,Female,47,Returning,Business,Business,369,9,5.0,1,1,3,4,1,4,5,4,4,4,4,1,4,4
29806,29807,Male,35,Returning,Business,Business,3483,0,5.0,3,3,5,2,3,4,2,4,4,4,4,3,4,4
84598,84599,Female,24,First-time,Business,Business,669,0,1.0,0,3,4,3,3,4,4,2,3,3,5,4,3,4
4651,4652,Female,42,Returning,Business,Business,2025,0,22.0,3,3,4,5,3,5,4,5,5,3,5,3,5,5
35181,35182,Male,45,Returning,Business,Business,2145,0,0.0,3,5,4,3,3,1,2,2,1,3,1,1,1,1
76999,77000,Female,45,Returning,Business,Business,3948,0,0.0,1,1,3,4,1,5,4,5,5,5,5,1,5,5
106059,106060,Male,68,Returning,Personal,Economy,903,2,0.0,4,1,1,1,5,3,4,1,4,4,2,1,4,5
96836,96837,Male,33,First-time,Business,Economy,571,10,3.0,3,2,4,2,4,3,4,1,4,4,3,2,4,3
78272,78273,Female,67,Returning,Personal,Business,1598,0,0.0,5,2,5,3,4,1,5,2,5,2,1,2,1,1
51178,51179,Female,38,Returning,Business,Economy Plus,86,2,0.0,2,3,2,5,2,3,5,5,5,5,2,5,5,3
12042,12043,Male,38,First-time,Business,Business,351,26,38.0,2,2,2,2,3,3,1,4,1,1,3,2,1,3
95674,95675,Female,53,Returning,Business,Business,1761,12,16.0,2,2,3,4,2,3,5,4,5,2,3,2,3,3
62446,62447,Male,57,Returning,Business,Business,1744,54,55.0,2,2,3,4,2,5,4,4,5,4,5,2,5,5
42735,42736,Male,11,Returning,Personal,Economy,536,0,0.0,4,5,5,5,2,3,3,5,3,3,4,5,3,4
39523,39524,Male,53,Returning,Personal,Economy,852,0,0.0,4,2,3,2,1,3,1,4,1,1,5,2,1,4
38853,38854,Female,39,Returning,Business,Business,2153,0,0.0,3,4,4,5,4,4,5,4,5,2,4,4,4,4
109602,109603,Male,34,Returning,Business,Business,861,0,0.0,5,5,3,4,5,4,4,4,4,4,4,5,4,4
96574,96575,Female,15,Returning,Personal,Economy,333,3,0.0,4,3,4,3,1,4,5,3,4,4,4,3,4,4
112397,112398,Male,55,Returning,Business,Business,2730,22,15.0,5,1,5,5,5,5,4,4,4,4,5,5,5,5
36140,36141,Female,17,Returning,Personal,Economy,1698,8,6.0,3,2,3,2,3,2,1,4,1,1,4,2,1,3
67105,67106,Male,52,Returning,Business,Economy,929,23,8.0,5,5,2,2,5,1,2,1,2,2,3,2,2,2
19372,19373,Female,33,Returning,Personal,Economy,476,91,82.0,3,1,3,1,5,2,4,2,4,4,4,1,4,4
109166,109167,Female,48,Returning,Business,Business,793,14,0.0,2,2,4,5,2,3,4,4,5,4,3,2,3,3
27512,27513,Male,57,Returning,Personal,Economy,1050,3,0.0,5,1,4,1,3,4,3,5,2,2,4,1,2,5
98139,98140,Male,30,Returning,Personal,Economy Plus,472,45,42.0,4,2,3,2,5,3,4,2,2,2,5,2,2,5
89791,89792,Female,18,Returning,Personal,Economy,1096,57,39.0,1,2,1,2,4,1,5,4,5,5,3,2,5,3
75615,75616,Male,27,Returning,Personal,Economy,337,135,135.0,4,4,4,5,1,5,4,5,4,4,3,4,3,4
16926,16927,Female,22,Returning,Business,Business,820,0,0.0,1,1,4,5,1,4,5,3,5,5,3,1,5,1
84960,84961,Male,45,Returning,Personal,Economy Plus,481,70,58.0,4,2,1,2,4,2,5,3,5,5,3,2,5,3
85227,85228,Female,47,Returning,Business,Business,413,0,0.0,5,5,3,5,5,4,3,4,4,2,4,5,4,4
66626,66627,Female,70,Returning,Personal,Business,802,0,0.0,2,1,2,3,3,4,3,1,1,1,4,1,4,4
125666,125667,Female,56,Returning,Business,Business,3086,0,0.0,5,5,5,4,5,3,5,3,3,4,3,5,3,3
69525,69526,Male,47,Returning,Business,Business,2586,0,0.0,4,4,4,4,4,5,4,4,4,4,3,4,3,4
89754,89755,Female,20,Returning,Personal,Economy,1035,82,62.0,5,2,5,2,4,3,2,4,2,2,5,2,2,4
81846,81847,Female,8,Returning,Personal,Economy,1501,0,0.0,4,2,3,2,3,4,2,2,2,2,3,2,2,4
17791,17792,Female,45,Returning,Business,Economy,1075,66,63.0,1,5,4,4,1,4,3,4,3,4,4,4,4,4
36509,36510,Female,37,First-time,Business,Economy,1237,9,67.0,2,2,5,2,4,5,3,1,2,2,2,2,2,4
65295,65296,Male,50,Returning,Personal,Economy Plus,551,0,0.0,3,1,3,1,4,1,5,3,5,5,4,1,5,3
40918,40919,Female,8,Returning,Personal,Economy,532,0,0.0,4,3,4,3,4,4,3,5,3,3,5,3,3,5
108047,108048,Male,54,First-time,Personal,Economy,591,29,21.0,5,2,4,2,1,4,5,2,5,5,5,2,5,4
49734,49735,Male,26,First-time,Business,Economy,109,0,0.0,3,2,1,2,3,1,1,2,1,1,4,2,1,3
46392,46393,Female,54,Returning,Personal,Economy,911,0,0.0,4,4,3,5,4,4,5,4,4,4,4,4,4,1
125398,125399,Female,69,Returning,Personal,Economy,1440,107,96.0,1,3,1,4,3,2,4,3,1,1,2,3,2,5
79693,79694,Female,31,Returning,Personal,Economy,712,0,0.0,4,1,4,1,4,2,5,3,5,5,4,1,5,4
26257,26258,Female,61,Returning,Personal,Economy Plus,581,44,48.0,4,1,5,4,3,3,5,1,3,2,3,1,3,1
7131,7132,Male,32,Returning,Business,Business,135,0,0.0,3,3,2,1,3,2,1,1,1,1,4,1,1,4
51138,51139,Female,13,Returning,Personal,Economy,373,0,0.0,1,3,4,3,3,4,5,3,5,5,3,2,5,2
72585,72586,Female,43,First-time,Business,Economy,719,0,25.0,4,4,3,4,4,1,4,1,4,4,3,3,4,4
24567,24568,Female,32,Returning,Personal,Economy,696,0,0.0,4,0,3,0,1,5,2,3,2,2,5,0,2,5
60015,60016,Female,14,Returning,Personal,Economy,937,14,0.0,3,3,4,3,3,5,1,1,1,1,5,3,1,5
16171,16172,Male,22,Returning,Business,Business,277,116,177.0,3,3,3,3,3,5,3,4,3,3,2,3,1,3
71613,71614,Female,26,Returning,Business,Business,3604,0,0.0,4,4,2,1,4,3,1,4,1,1,3,1,1,3
2828,2829,Male,58,Returning,Business,Business,409,11,25.0,2,2,5,5,2,4,4,4,3,2,4,2,4,4
119314,119315,Male,30,Returning,Personal,Economy,214,0,0.0,0,3,5,3,1,5,3,4,5,5,5,3,5,4
25469,25470,Male,23,Returning,Personal,Business,516,10,0.0,5,1,3,1,1,5,1,5,1,1,2,1,1,2
102180,102181,Male,44,Returning,Business,Business,236,30,12.0,0,0,3,5,5,2,4,2,5,4,2,0,2,2
44508,44509,Female,32,Returning,Business,Business,2045,11,8.0,4,4,5,5,4,4,4,3,4,4,4,4,4,4
34575,34576,Female,22,Returning,Business,Business,1598,42,20.0,4,5,4,5,4,4,5,5,5,5,1,4,5,3
8983,8984,Female,67,Returning,Personal,Economy,725,0,0.0,1,5,4,4,3,2,3,5,2,2,2,4,2,4
72962,72963,Female,55,Returning,Business,Business,1096,0,0.0,5,5,4,4,5,4,5,4,3,3,4,5,4,4
56574,56575,Female,46,Returning,Business,Business,1085,6,1.0,5,5,5,4,5,4,5,4,4,4,4,5,4,4
41526,41527,Male,29,First-time,Business,Economy,1464,9,2.0,4,4,2,4,4,3,4,1,4,4,1,4,4,1
28347,28348,Male,55,Returning,Personal,Economy,867,0,0.0,2,3,4,3,3,3,2,4,2,2,3,3,2,4
96448,96449,Female,21,First-time,Business,Economy,302,0,0.0,5,4,5,4,3,3,5,5,5,5,5,3,5,5
118826,118827,Female,66,Returning,Business,Economy Plus,338,0,0.0,3,3,4,2,3,4,2,4,1,4,4,4,4,4
6532,6533,Male,56,Returning,Business,Business,2432,20,19.0,4,4,5,4,4,4,4,4,3,5,4,4,4,4
72683,72684,Male,68,Returning,Personal,Economy,1121,0,0.0,4,1,5,1,3,4,2,3,4,4,4,1,4,3
50221,50222,Female,39,Returning,Business,Economy,109,0,0.0,5,5,2,5,5,1,5,2,5,5,4,5,5,4
64986,64987,Female,30,Returning,Business,Business,247,0,0.0,5,5,4,4,5,3,4,1,4,4,2,5,4,2
96470,96471,Male,60,Returning,Business,Business,3239,37,34.0,2,2,3,5,2,4,5,4,3,2,4,2,4,4
86509,86510,Male,21,Returning,Personal,Economy,762,22,23.0,2,3,3,3,3,2,4,1,4,4,3,3,4,4
90469,90470,Male,40,Returning,Business,Business,3919,0,0.0,3,2,3,5,2,4,5,4,4,5,4,2,4,4
49272,49273,Female,48,Returning,Business,Economy,308,0,0.0,1,1,4,3,1,4,2,5,1,2,4,5,4,4
12131,12132,Male,28,Returning,Business,Business,2406,0,0.0,2,5,4,4,2,3,4,3,4,4,5,2,4,4
10495,10496,Male,38,First-time,Business,Business,201,22,25.0,5,5,3,5,4,5,4,4,4,4,4,5,4,5
16096,16097,Female,38,Returning,Business,Economy,303,0,0.0,3,3,2,2,3,2,2,4,2,2,3,2,2,3
64560,64561,Male,44,Returning,Business,Business,2337,0,0.0,3,3,3,4,3,5,4,5,4,5,5,3,5,5
74238,74239,Female,14,Returning,Personal,Economy Plus,888,0,7.0,4,3,2,3,4,2,1,1,2,2,4,3,2,4
118404,118405,Male,31,Returning,Personal,Business,451,63,68.0,5,3,3,3,4,4,5,1,5,5,5,2,5,2
51712,51713,Female,33,Returning,Business,Economy,237,0,0.0,3,3,5,5,3,5,5,4,5,5,4,3,5,1
99999,100000,Female,24,First-time,Business,Business,289,0,0.0,0,4,4,4,3,5,4,4,4,4,5,4,4,4
47542,47543,Male,38,Returning,Business,Economy Plus,558,11,0.0,1,1,4,5,1,5,5,5,5,5,1,5,5,1
99988,99989,Male,30,Returning,Business,Business,3082,17,6.0,0,0,5,5,3,4,5,5,4,4,5,0,4,4
32851,32852,Female,45,Returning,Personal,Economy,201,0,0.0,4,2,4,4,3,2,3,2,3,1,2,2,2,5
7274,7275,Male,15,Returning,Personal,Economy,139,63,57.0,4,1,2,1,3,3,5,1,5,5,4,1,5,4
37732,37733,Female,33,Returning,Personal,Economy,1010,0,0.0,3,3,4,3,2,4,5,1,5,5,4,3,5,2
5611,5612,Male,25,First-time,Business,Business,685,0,0.0,5,0,4,5,1,3,2,4,2,2,5,0,2,5
61485,61486,Male,40,Returning,Business,Economy,2288,2,0.0,1,3,3,2,3,2,2,2,2,2,3,2,2,2
96766,96767,Male,50,Returning,Business,Business,849,30,16.0,2,2,4,5,2,5,5,5,5,2,5,2,5,5
129167,129168,Male,36,Returning,Personal,Economy,679,23,11.0,4,3,5,3,3,3,2,2,2,2,5,3,2,5
46249,46250,Male,41,Returning,Business,Economy,679,115,185.0,3,3,1,1,3,2,1,3,1,1,4,1,4,4
63016,63017,Female,38,Returning,Business,Business,2349,0,0.0,4,4,4,4,4,3,4,3,2,3,3,3,3,3
80687,80688,Female,39,Returning,Business,Business,2000,0,0.0,3,1,5,5,3,2,4,2,3,4,2,3,2,2
46899,46900,Male,28,Returning,Business,Business,833,0,0.0,3,3,4,2,3,1,2,1,2,2,1,3,2,3
52845,52846,Male,64,Returning,Personal,Economy,1721,0,0.0,4,3,5,3,5,3,3,2,3,3,5,4,3,4
71825,71826,Female,18,Returning,Business,Business,1726,0,0.0,2,2,1,2,2,3,2,3,2,2,3,2,2,3
15750,15751,Female,37,Returning,Business,Economy,461,0,0.0,3,3,1,1,3,2,1,3,1,1,3,1,1,4
7802,7803,Male,29,Returning,Business,Business,1606,0,0.0,3,5,5,5,3,3,5,5,5,5,5,3,5,5
100388,100389,Male,37,Returning,Personal,Economy,1073,0,0.0,4,4,3,4,4,3,2,4,2,2,5,3,2,5
95668,95669,Female,26,Returning,Business,Business,1557,0,0.0,5,4,2,4,5,2,5,3,5,5,3,5,5,4
65811,65812,Male,28,First-time,Business,Economy,1444,0,0.0,3,3,2,3,3,1,5,2,5,5,3,3,5,3
15625,15626,Male,33,Returning,Personal,Economy,296,0,0.0,2,2,1,2,2,1,4,1,4,4,2,2,4,3
49438,49439,Male,57,Returning,Business,Economy,209,0,0.0,1,3,1,5,1,4,4,1,4,4,2,5,4,4
98277,98278,Male,59,Returning,Business,Economy,1072,11,14.0,1,1,3,2,1,3,1,3,1,1,4,2,1,4
125362,125363,Female,41,Returning,Personal,Economy,599,56,86.0,4,3,5,3,1,4,4,4,4,4,4,3,4,4
123498,123499,Male,41,Returning,Business,Business,796,0,0.0,4,4,4,5,4,5,2,4,3,2,5,4,5,5
81833,81834,Female,12,Returning,Personal,Economy,1416,0,0.0,1,4,2,4,2,4,1,3,1,1,3,4,1,2
8312,8313,Male,29,Returning,Business,Economy Plus,335,0,0.0,5,5,2,4,5,2,4,5,4,4,3,4,4,3
72395,72396,Male,56,Returning,Business,Business,1766,56,65.0,2,2,5,5,2,4,4,4,5,4,4,2,4,4
103854,103855,Female,23,Returning,Business,Economy,482,7,0.0,1,1,1,4,1,1,3,2,4,4,4,4,4,1
48893,48894,Male,63,First-time,Business,Economy,89,0,9.0,0,1,4,1,5,5,5,1,5,5,3,1,5,4
6984,6985,Female,54,Returning,Business,Business,1903,0,0.0,3,3,5,4,3,5,4,5,4,2,5,3,5,5
51575,51576,Female,20,First-time,Business,Economy,451,0,0.0,0,1,5,1,3,2,3,4,3,3,1,1,3,1
84591,84592,Male,43,Returning,Business,Business,2501,0,18.0,2,2,3,5,2,4,5,4,3,4,4,2,4,4
105856,105857,Female,12,First-time,Business,Economy,925,0,0.0,1,1,3,1,4,2,3,4,3,3,3,1,3,4
92455,92456,Female,34,First-time,Business,Business,2139,0,0.0,3,3,3,3,1,5,3,2,3,3,4,3,3,4
104724,104725,Male,46,Returning,Business,Business,1407,17,13.0,4,4,3,5,4,5,4,5,5,5,5,4,5,5
30959,30960,Male,64,Returning,Personal,Economy,1024,12,5.0,4,4,5,4,2,3,4,2,4,4,4,4,4,5
9375,9376,Male,15,Returning,Personal,Economy,401,0,0.0,1,4,1,4,3,4,1,3,3,3,3,4,3,4
80063,80064,Female,50,Returning,Personal,Economy,950,70,52.0,4,1,1,4,4,1,4,1,2,2,1,1,1,1
21912,21913,Female,51,Returning,Business,Business,2981,0,5.0,2,2,3,2,2,4,5,4,4,2,4,2,4,4
40769,40770,Male,54,Returning,Business,Business,2600,0,0.0,5,5,4,4,5,4,5,4,3,1,4,5,4,4
98978,98979,Female,43,Returning,Personal,Economy,543,16,20.0,5,4,4,3,3,3,4,4,2,3,3,4,3,3
47669,47670,Female,27,First-time,Business,Economy,1211,0,0.0,2,2,1,2,3,3,2,3,2,2,4,2,2,3
69150,69151,Male,29,Returning,Business,Economy Plus,2248,12,25.0,5,5,2,2,5,3,2,2,2,2,1,2,3,3
81946,81947,Male,36,First-time,Business,Business,1535,0,0.0,4,4,4,4,1,5,2,4,5,5,5,4,5,4
79098,79099,Male,28,Returning,Personal,Economy,356,6,5.0,2,2,1,2,3,1,2,5,2,2,3,2,2,4
110938,110939,Female,50,Returning,Personal,Economy,581,6,0.0,4,1,3,5,1,1,4,1,3,4,1,1,1,1
